date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:12	20662/20662	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-50b6%22	http://125.209.199.43/wp-content/themes/kallyas/js/bootstrap.min.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/js/bootstrap.min3a66.js	(from http://125.209.199.43/)
13:45:12	48508/48508	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e81002-bd7c%22	http://125.209.199.43/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.1.6	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.minb62d.js	(from http://125.209.199.43/)
13:45:12	16018/16018	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e8cb0d-3e92%22	http://125.209.199.43/wp-content/themes/kallyas/js/modernizr.js?ver=4.0.11.1	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/themes/kallyas/js/modernizr3a66.js	(from http://125.209.199.43/)
13:45:12	104767/104767	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256e81002-1993f%22	http://125.209.199.43/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.1.6	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.minb62d.js	(from http://125.209.199.43/)
13:45:12	6046/6046	---MCZ	200	added ('OK')	application/javascript	etag:W/%22578f26eb-179e%22	http://125.209.199.43/wp-content/plugins/booking/js/wpbc_vars.js?ver=1.0	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/plugins/booking/js/wpbc_vars5152.js	(from http://125.209.199.43/)
13:45:14	98302/98302	---MCZ	200	added ('OK')	application/javascript	etag:W/%22578f26eb-17ffe%22	http://125.209.199.43/wp-content/plugins/booking/js/datepick/jquery.datepick.js?ver=1.0	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/plugins/booking/js/datepick/jquery.datepick5152.js	(from http://125.209.199.43/)
13:45:15	50640/50640	---MCZ	200	added ('OK')	application/javascript	etag:W/%22578f26eb-c5d0%22	http://125.209.199.43/wp-content/plugins/booking/js/client.js?ver=1.0	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/plugins/booking/js/client5152.js	(from http://125.209.199.43/)
13:45:15	823/823	---MCZ	200	added ('OK')	text/xml	date:Sun,%2012%20Feb%202017%2005:45:14%20GMT	http://125.209.199.43/xmlrpc.php?rsd	/home/kimhongsu/websites/haenyeo/125.209.199.43/xmlrpc0db0.php	(from http://125.209.199.43/)
13:45:16	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	http://125.209.199.43/wp-includes/wlwmanifest.xml	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-includes/wlwmanifest.xml	(from http://125.209.199.43/)
13:45:16	984/984	---MCZ	200	added ('OK')	application/json	date:Sun,%2012%20Feb%202017%2005:45:15%20GMT	http://125.209.199.43/?rest_route=/	/home/kimhongsu/websites/haenyeo/125.209.199.43/index52f0.html	(from http://125.209.199.43/)
13:45:26	2268/2268	---MCZ	200	added ('OK')	text/xml	date:Sun,%2012%20Feb%202017%2005:45:17%20GMT	http://125.209.199.43/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F125.209.199.43%2F&format=xml	/home/kimhongsu/websites/haenyeo/125.209.199.43/index12e0.html	(from http://125.209.199.43/)
13:45:26	2166/2166	---MCZ	200	added ('OK')	application/json	date:Sun,%2012%20Feb%202017%2005:45:17%20GMT	http://125.209.199.43/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F125.209.199.43%2F	/home/kimhongsu/websites/haenyeo/125.209.199.43/indexe071.html	(from http://125.209.199.43/)
13:45:26	198479/198479	---M-Z	200	added ('OK')	application/x-javascript	etag:%225c5fce68db6735717df9f0ad43671be9%22	http://connect.facebook.net/en_US/sdk.js	/home/kimhongsu/websites/haenyeo/connect.facebook.net/en_US/sdk.js	(from http://125.209.199.43/)
13:45:32	29445/29445	---M--	200	added ('OK')	image/png	etag:%2256e8d60d-7305%22	http://125.209.199.43/wp-content/uploads/2016/03/soombi_logo-w.png	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/soombi_logo-w.png	(from http://125.209.199.43/)
13:45:47	232365/232365	---M--	200	added ('OK')	image/jpeg	etag:%2256ea426a-38bad%22	http://125.209.199.43/wp-content/uploads/2016/03/main001.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/main001.jpg	(from http://125.209.199.43/)
13:45:54	44494/44494	---M--	200	added ('OK')	image/jpeg	etag:%2256e9501f-adce%22	http://125.209.199.43/wp-content/uploads/2016/03/haenyeo2-copy-270x270.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/haenyeo2-copy-270x270.jpg	(from http://125.209.199.43/)
13:45:55	249218/249218	---M--	200	added ('OK')	image/jpeg	etag:%2256e95826-3cd82%22	http://125.209.199.43/wp-content/uploads/2016/03/blogfiles.naver_.net01.jpg	/home/kimhongsu/websites/haenyeo/125.209.199.43/wp-content/uploads/2016/03/blogfiles.naver_.net01.jpg	(from http://125.209.199.43/)
13:45:57	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Feb%202017%2005:45:56%20GMT	http://kallyas.net/demos/wp-content/uploads/2015/11/bg-shadow.png	/home/kimhongsu/websites/haenyeo/kallyas.net/demos/wp-content/uploads/2015/11/bg-shadow.22.delayed	(from http://125.209.199.43/)
